species,length,weight,w_l_ratio,species_Encoded,lengthNorm,weightNorm,cluster
Anabas testudineus,7.23,3.31,0.46,0,0.044845360824742275,0.4790874524714831,1
Anabas testudineus,7.88,3.3,0.42,0,0.07835051546391752,0.47528517110266166,1
Anabas testudineus,8.31,3.35,0.4,0,0.10051546391752575,0.4942965779467682,1
Anabas testudineus,7.28,3.2,0.44,0,0.04742268041237113,0.43726235741444885,1
Anabas testudineus,7.52,3.15,0.42,0,0.059793814432989645,0.41825095057034234,1
Anabas testudineus,6.88,3.29,0.48,0,0.026804123711340166,0.47148288973384045,1
Anabas testudineus,8.51,3.48,0.41,0,0.11082474226804118,0.5437262357414451,1
Anabas testudineus,9.21,3.12,0.34,0,0.1469072164948454,0.4068441064638785,1
Anabas testudineus,8.25,3.17,0.38,0,0.09742268041237112,0.42585551330798477,1
Anabas testudineus,10.13,3.34,0.33,0,0.19432989690721653,0.49049429657794674,1
Anabas testudineus,9.84,3.42,0.35,0,0.17938144329896905,0.5209125475285171,1
Anabas testudineus,8.67,3.31,0.38,0,0.11907216494845357,0.4790874524714831,1
Anabas testudineus,7.45,3.09,0.41,0,0.056185567010309245,0.3954372623574144,1
Anabas testudineus,9.45,3.32,0.35,0,0.15927835051546385,0.4828897338403043,1
Anabas testudineus,7.28,3.3,0.45,0,0.04742268041237113,0.47528517110266166,1
Anabas testudineus,9.92,3.33,0.34,0,0.18350515463917522,0.48669201520912553,1
Anabas testudineus,9.26,3.25,0.35,0,0.1494845360824742,0.45627376425855515,1
Anabas testudineus,6.94,3.29,0.47,0,0.02989690721649485,0.47148288973384045,1
Anabas testudineus,8.03,3.29,0.41,0,0.0860824742268041,0.47148288973384045,1
Anabas testudineus,9.81,3.39,0.35,0,0.17783505154639173,0.5095057034220535,1
Anabas testudineus,7.61,3.29,0.43,0,0.06443298969072164,0.47148288973384045,1
Anabas testudineus,7.87,3.24,0.41,0,0.07783505154639175,0.45247148288973393,1
Anabas testudineus,6.7,3.24,0.48,0,0.017525773195876282,0.45247148288973393,1
Anabas testudineus,7.81,3.37,0.43,0,0.07474226804123707,0.5019011406844108,1
Anabas testudineus,9.74,3.26,0.34,0,0.17422680412371133,0.46007604562737636,1
Anabas testudineus,8.14,3.17,0.39,0,0.09175257731958764,0.42585551330798477,1
Anabas testudineus,7.89,3.25,0.41,0,0.07886597938144324,0.45627376425855515,1
Anabas testudineus,7.34,3.25,0.44,0,0.05051546391752576,0.45627376425855515,1
Anabas testudineus,6.86,3.34,0.49,0,0.02577319587628868,0.49049429657794674,1
Anabas testudineus,7.16,3.2,0.45,0,0.04123711340206182,0.43726235741444885,1
Anabas testudineus,9.43,3.27,0.35,0,0.1582474226804123,0.4638783269961978,1
Anabas testudineus,10.58,3.37,0.32,0,0.21752577319587624,0.5019011406844108,1
Anabas testudineus,7.69,3.31,0.43,0,0.06855670103092781,0.4790874524714831,1
Anabas testudineus,6.39,3.06,0.48,0,0.0015463917525772586,0.38403041825095074,1
Anabas testudineus,8.53,3.39,0.4,0,0.11185567010309272,0.5095057034220535,1
Anabas testudineus,7.94,3.18,0.4,0,0.08144329896907215,0.4296577946768062,1
Anabas testudineus,9.73,3.32,0.34,0,0.17371134020618556,0.4828897338403043,1
Anabas testudineus,9.83,3.35,0.34,0,0.17886597938144327,0.4942965779467682,1
Anabas testudineus,9.3,3.17,0.34,0,0.15154639175257734,0.42585551330798477,1
Anabas testudineus,7.68,3.41,0.44,0,0.06804123711340204,0.5171102661596959,1
Anabas testudineus,6.85,3.26,0.48,0,0.025257731958762852,0.46007604562737636,1
Anabas testudineus,8.39,3.26,0.39,0,0.10463917525773198,0.46007604562737636,1
Anabas testudineus,8.77,3.34,0.38,0,0.12422680412371129,0.49049429657794674,1
Anabas testudineus,8.74,3.32,0.38,0,0.12268041237113403,0.4828897338403043,1
Anabas testudineus,6.87,3.23,0.47,0,0.026288659793814395,0.4486692015209127,1
Anabas testudineus,9.34,3.18,0.34,0,0.15360824742268037,0.4296577946768062,1
Anabas testudineus,7.33,3.45,0.47,0,0.04999999999999999,0.5323193916349812,1
Anabas testudineus,6.7,3.22,0.48,0,0.017525773195876282,0.4448669201520915,1
Anabas testudineus,7.77,3.06,0.39,0,0.07268041237113398,0.38403041825095074,1
Anabas testudineus,6.79,3.18,0.47,0,0.022164948453608224,0.4296577946768062,1
Anabas testudineus,7.22,3.28,0.45,0,0.04432989690721645,0.467680608365019,1
Anabas testudineus,8.54,3.08,0.36,0,0.11237113402061849,0.3916349809885932,1
Anabas testudineus,7.41,3.11,0.42,0,0.05412371134020616,0.40304182509505704,1
Anabas testudineus,6.63,3.18,0.48,0,0.013917525773195827,0.4296577946768062,1
Anabas testudineus,7.2,3.47,0.48,0,0.04329896907216496,0.5399239543726239,1
Anabas testudineus,7.31,3.26,0.45,0,0.04896907216494839,0.46007604562737636,1
Anabas testudineus,8.94,3.29,0.37,0,0.13298969072164946,0.47148288973384045,1
Anabas testudineus,7.06,3.29,0.47,0,0.03608247422680411,0.47148288973384045,1
Anabas testudineus,9.4,3.44,0.37,0,0.15670103092783505,0.5285171102661598,1
Anabas testudineus,7.35,3.29,0.45,0,0.05103092783505153,0.47148288973384045,1
Anabas testudineus,8.58,3.24,0.38,0,0.11443298969072163,0.45247148288973393,1
Anabas testudineus,7.17,3.34,0.47,0,0.04175257731958759,0.49049429657794674,1
Anabas testudineus,9.41,3.31,0.35,0,0.15721649484536082,0.4790874524714831,1
Anabas testudineus,8.41,3.12,0.37,0,0.10567010309278346,0.4068441064638785,1
Anabas testudineus,7.01,3.25,0.46,0,0.03350515463917525,0.45627376425855515,1
Anabas testudineus,6.54,3.35,0.51,0,0.009278350515463885,0.4942965779467682,1
Anabas testudineus,7.08,3.25,0.46,0,0.03711340206185565,0.45627376425855515,1
Anabas testudineus,8.26,3.18,0.39,0,0.09793814432989689,0.4296577946768062,1
Anabas testudineus,8.1,3.12,0.39,0,0.0896907216494845,0.4068441064638785,1
Anabas testudineus,7.02,3.25,0.46,0,0.034020618556700966,0.45627376425855515,1
Anabas testudineus,8.15,3.27,0.4,0,0.09226804123711341,0.4638783269961978,1
Anabas testudineus,7.77,3.46,0.44,0,0.07268041237113398,0.5361216730038024,1
Anabas testudineus,9.58,3.29,0.34,0,0.16597938144329893,0.47148288973384045,1
Anabas testudineus,8.72,3.22,0.37,0,0.12164948453608249,0.4448669201520915,1
Anabas testudineus,8.58,3.44,0.4,0,0.11443298969072163,0.5285171102661598,1
Anabas testudineus,8.04,3.29,0.41,0,0.08659793814432981,0.47148288973384045,1
Anabas testudineus,7.53,3.06,0.41,0,0.06030927835051547,0.38403041825095074,1
Anabas testudineus,7.75,3.32,0.43,0,0.07164948453608244,0.4828897338403043,1
Anabas testudineus,8.41,3.24,0.38,0,0.10567010309278346,0.45247148288973393,1
Anabas testudineus,7.64,3.19,0.42,0,0.06597938144329896,0.4334600760456274,1
Anabas testudineus,10.19,3.42,0.34,0,0.19742268041237104,0.5209125475285171,1
Anabas testudineus,7.18,3.41,0.48,0,0.04226804123711336,0.5171102661596959,1
Anabas testudineus,10.58,3.38,0.32,0,0.21752577319587624,0.505703422053232,1
Anabas testudineus,8.22,3.31,0.4,0,0.0958762886597938,0.4790874524714831,1
Anabas testudineus,8.34,3.4,0.41,0,0.10206185567010306,0.5133079847908747,1
Anabas testudineus,9.99,3.42,0.34,0,0.18711340206185562,0.5209125475285171,1
Anabas testudineus,8.57,3.25,0.38,0,0.11391752577319586,0.45627376425855515,1
Anabas testudineus,8.74,3.22,0.37,0,0.12268041237113403,0.4448669201520915,1
Anabas testudineus,7.3,3.38,0.46,0,0.048453608247422675,0.505703422053232,1
Anabas testudineus,8.49,3.23,0.38,0,0.10979381443298969,0.4486692015209127,1
Anabas testudineus,8.62,3.24,0.38,0,0.11649484536082466,0.45247148288973393,1
Anabas testudineus,6.79,3.4,0.5,0,0.022164948453608224,0.5133079847908747,1
Anabas testudineus,9.59,3.35,0.35,0,0.1664948453608247,0.4942965779467682,1
Anabas testudineus,6.57,3.29,0.5,0,0.010824742268041254,0.47148288973384045,1
Anabas testudineus,7.9,3.33,0.42,0,0.07938144329896907,0.48669201520912553,1
Anabas testudineus,7.67,3.34,0.44,0,0.06752577319587627,0.49049429657794674,1
Anabas testudineus,9.62,3.23,0.34,0,0.16804123711340202,0.4486692015209127,1
Anabas testudineus,7.57,3.09,0.41,0,0.06237113402061856,0.3954372623574144,1
Anabas testudineus,8.21,3.31,0.4,0,0.09536082474226804,0.4790874524714831,1
Anabas testudineus,7.06,3.02,0.43,0,0.03608247422680411,0.36882129277566544,1
Anabas testudineus,9.57,3.33,0.35,0,0.16546391752577316,0.48669201520912553,1
Anabas testudineus,8.45,3.26,0.39,0,0.10773195876288655,0.46007604562737636,1
Anabas testudineus,6.98,3.34,0.48,0,0.031958762886597936,0.49049429657794674,1
Anabas testudineus,6.53,3.34,0.51,0,0.008762886597938113,0.49049429657794674,1
Anabas testudineus,6.68,3.23,0.48,0,0.016494845360824684,0.4486692015209127,1
Anabas testudineus,7.84,3.16,0.4,0,0.07628865979381438,0.42205323193916355,1
Anabas testudineus,7.34,3.16,0.43,0,0.05051546391752576,0.42205323193916355,1
Anabas testudineus,8.73,3.36,0.39,0,0.12216494845360826,0.4980988593155894,1
Anabas testudineus,8.08,3.29,0.41,0,0.08865979381443295,0.47148288973384045,1
Anabas testudineus,8.27,3.33,0.4,0,0.09845360824742261,0.48669201520912553,1
Anabas testudineus,7.92,3.26,0.41,0,0.08041237113402061,0.46007604562737636,1
Anabas testudineus,7.03,3.23,0.46,0,0.03453608247422679,0.4486692015209127,1
Anabas testudineus,6.7,3.14,0.47,0,0.017525773195876282,0.4144486692015211,1
Anabas testudineus,7.19,3.14,0.44,0,0.04278350515463919,0.4144486692015211,1
Anabas testudineus,10.76,3.2,0.3,0,0.22680412371134012,0.43726235741444885,1
Anabas testudineus,9.97,3.58,0.36,0,0.18608247422680407,0.5817490494296579,1
Anabas testudineus,6.5,3.17,0.49,0,0.007216494845360799,0.42585551330798477,1
Anabas testudineus,8.34,3.19,0.38,0,0.10206185567010306,0.4334600760456274,1
Anabas testudineus,7.44,3.26,0.44,0,0.05567010309278353,0.46007604562737636,1
Anabas testudineus,8.98,3.28,0.37,0,0.1350515463917526,0.467680608365019,1
Anabas testudineus,7.21,3.12,0.43,0,0.04381443298969068,0.4068441064638785,1
Anabas testudineus,6.9,3.22,0.47,0,0.027835051546391765,0.4448669201520915,1
Anabas testudineus,7.82,3.16,0.4,0,0.0752577319587629,0.42205323193916355,1
Anabas testudineus,7.64,3.22,0.42,0,0.06597938144329896,0.4448669201520915,1
Anabas testudineus,9.44,3.39,0.36,0,0.15876288659793808,0.5095057034220535,1
Anabas testudineus,7.07,3.11,0.44,0,0.03659793814432988,0.40304182509505704,1
Anabas testudineus,9.59,3.31,0.35,0,0.1664948453608247,0.4790874524714831,1
Anabas testudineus,8.63,3.26,0.38,0,0.11701030927835054,0.46007604562737636,1
Anabas testudineus,8.16,3.36,0.41,0,0.09278350515463918,0.4980988593155894,1
Anabas testudineus,7.61,3.35,0.44,0,0.06443298969072164,0.4942965779467682,1
Anabas testudineus,6.84,3.34,0.49,0,0.02474226804123708,0.49049429657794674,1
Anabas testudineus,10.71,3.42,0.32,0,0.22422680412371138,0.5209125475285171,1
Anabas testudineus,6.9,3.14,0.45,0,0.027835051546391765,0.4144486692015211,1
Anabas testudineus,7.53,3.13,0.42,0,0.06030927835051547,0.4106463878326997,1
Anabas testudineus,8.86,3.35,0.38,0,0.12886597938144323,0.4942965779467682,1
Anabas testudineus,8.77,3.36,0.38,0,0.12422680412371129,0.4980988593155894,1
Anabas testudineus,6.5,3.18,0.49,0,0.007216494845360799,0.4296577946768062,1
Anabas testudineus,9.12,3.35,0.37,0,0.14226804123711334,0.4942965779467682,1
Anabas testudineus,8.36,3.36,0.4,0,0.1030927835051546,0.4980988593155894,1
Anabas testudineus,7.57,3.35,0.44,0,0.06237113402061856,0.4942965779467682,1
Anabas testudineus,7.55,3.16,0.42,0,0.06134020618556696,0.42205323193916355,1
Anabas testudineus,10.59,3.25,0.31,0,0.218041237113402,0.45627376425855515,1
Anabas testudineus,8.77,3.11,0.35,0,0.12422680412371129,0.40304182509505704,1
Anabas testudineus,7.2,3.33,0.46,0,0.04329896907216496,0.48669201520912553,1
Anabas testudineus,8.94,3.39,0.38,0,0.13298969072164946,0.5095057034220535,1
Anabas testudineus,8.0,3.23,0.4,0,0.08453608247422678,0.4486692015209127,1
Anabas testudineus,7.68,3.15,0.41,0,0.06804123711340204,0.41825095057034234,1
Anabas testudineus,9.27,3.28,0.35,0,0.14999999999999997,0.467680608365019,1
Anabas testudineus,9.03,3.37,0.37,0,0.1376288659793814,0.5019011406844108,1
Anabas testudineus,6.36,3.25,0.51,0,0.0,0.45627376425855515,1
Anabas testudineus,7.85,3.37,0.43,0,0.07680412371134016,0.5019011406844108,1
Anabas testudineus,7.05,3.21,0.45,0,0.035567010309278335,0.44106463878327007,1
Anabas testudineus,9.18,3.43,0.37,0,0.14536082474226802,0.5247148288973386,1
Anabas testudineus,8.64,3.38,0.39,0,0.11752577319587632,0.505703422053232,1
Anabas testudineus,8.64,3.12,0.36,0,0.11752577319587632,0.4068441064638785,1
Anabas testudineus,7.04,3.37,0.48,0,0.035051546391752564,0.5019011406844108,1
Anabas testudineus,7.29,3.43,0.47,0,0.0479381443298969,0.5247148288973386,1
Anabas testudineus,7.46,3.31,0.44,0,0.05670103092783502,0.4790874524714831,1
Anabas testudineus,9.06,3.29,0.36,0,0.13917525773195877,0.47148288973384045,1
Anabas testudineus,8.78,3.21,0.37,0,0.12474226804123706,0.44106463878327007,1
Anabas testudineus,9.33,3.38,0.36,0,0.1530927835051546,0.505703422053232,1
Anabas testudineus,7.18,3.15,0.44,0,0.04226804123711336,0.41825095057034234,1
Anabas testudineus,8.25,3.18,0.39,0,0.09742268041237112,0.4296577946768062,1
Anabas testudineus,9.13,3.43,0.38,0,0.14278350515463917,0.5247148288973386,1
Anabas testudineus,7.99,3.28,0.41,0,0.08402061855670101,0.467680608365019,1
Anabas testudineus,8.78,3.11,0.35,0,0.12474226804123706,0.40304182509505704,1
Anabas testudineus,8.54,3.33,0.39,0,0.11237113402061849,0.48669201520912553,1
Anabas testudineus,6.51,3.35,0.51,0,0.0077319587628865705,0.4942965779467682,1
Anabas testudineus,6.68,3.2,0.48,0,0.016494845360824684,0.43726235741444885,1
Anabas testudineus,8.95,3.3,0.37,0,0.13350515463917517,0.47528517110266166,1
Anabas testudineus,9.35,3.34,0.36,0,0.15412371134020614,0.49049429657794674,1
Anabas testudineus,6.82,3.21,0.47,0,0.02371134020618554,0.44106463878327007,1
Anabas testudineus,8.87,3.29,0.37,0,0.129381443298969,0.47148288973384045,1
Anabas testudineus,7.55,3.26,0.43,0,0.06134020618556696,0.46007604562737636,1
Anabas testudineus,7.56,3.24,0.43,0,0.06185567010309273,0.45247148288973393,1
Anabas testudineus,8.64,3.41,0.39,0,0.11752577319587632,0.5171102661596959,1
Anabas testudineus,8.92,3.4,0.38,0,0.1319587628865979,0.5133079847908747,1
Anabas testudineus,9.33,3.36,0.36,0,0.1530927835051546,0.4980988593155894,1
Anabas testudineus,8.03,3.34,0.42,0,0.0860824742268041,0.49049429657794674,1
Anabas testudineus,7.61,3.19,0.42,0,0.06443298969072164,0.4334600760456274,1
Anabas testudineus,9.79,3.3,0.34,0,0.1768041237113402,0.47528517110266166,1
Anabas testudineus,9.8,3.24,0.33,0,0.17731958762886596,0.45247148288973393,1
Anabas testudineus,10.42,3.35,0.32,0,0.2092783505154639,0.4942965779467682,1
Anabas testudineus,9.34,3.3,0.35,0,0.15360824742268037,0.47528517110266166,1
Anabas testudineus,9.53,3.25,0.34,0,0.16340206185567002,0.45627376425855515,1
Anabas testudineus,8.95,3.27,0.36,0,0.13350515463917517,0.4638783269961978,1
Anabas testudineus,8.1,3.26,0.4,0,0.0896907216494845,0.46007604562737636,1
Anabas testudineus,7.07,3.27,0.46,0,0.03659793814432988,0.4638783269961978,1
Anabas testudineus,7.29,3.28,0.45,0,0.0479381443298969,0.467680608365019,1
Anabas testudineus,9.21,3.37,0.37,0,0.1469072164948454,0.5019011406844108,1
Anabas testudineus,6.84,3.26,0.48,0,0.02474226804123708,0.46007604562737636,1
Anabas testudineus,8.39,3.15,0.38,0,0.10463917525773198,0.41825095057034234,1
Anabas testudineus,7.74,3.16,0.41,0,0.07113402061855667,0.42205323193916355,1
Anabas testudineus,8.49,3.33,0.39,0,0.10979381443298969,0.48669201520912553,1
Anabas testudineus,6.53,3.31,0.51,0,0.008762886597938113,0.4790874524714831,1
Anabas testudineus,7.19,3.2,0.44,0,0.04278350515463919,0.43726235741444885,1
Anabas testudineus,8.48,3.28,0.39,0,0.10927835051546392,0.467680608365019,1
Anabas testudineus,6.98,3.31,0.47,0,0.031958762886597936,0.4790874524714831,1
Anabas testudineus,7.42,3.24,0.44,0,0.05463917525773193,0.45247148288973393,1
Anabas testudineus,8.06,3.29,0.41,0,0.08762886597938147,0.47148288973384045,1
Anabas testudineus,10.14,3.33,0.33,0,0.1948453608247423,0.48669201520912553,1
Anabas testudineus,9.41,3.18,0.34,0,0.15721649484536082,0.4296577946768062,1
Anabas testudineus,6.89,3.16,0.46,0,0.027319587628865938,0.42205323193916355,1
Anabas testudineus,8.23,3.14,0.38,0,0.09639175257731958,0.4144486692015211,1
Anabas testudineus,6.67,3.33,0.5,0,0.015979381443298968,0.48669201520912553,1
Anabas testudineus,7.36,3.13,0.43,0,0.0515463917525773,0.4106463878326997,1
Anabas testudineus,9.9,3.37,0.34,0,0.18247422680412367,0.5019011406844108,1
Anabas testudineus,8.41,3.31,0.39,0,0.10567010309278346,0.4790874524714831,1
Anabas testudineus,8.95,3.26,0.36,0,0.13350515463917517,0.46007604562737636,1
Anabas testudineus,6.53,3.05,0.47,0,0.008762886597938113,0.3802281368821293,1
Anabas testudineus,10.78,3.26,0.3,0,0.22783505154639166,0.46007604562737636,1
Anabas testudineus,9.66,3.36,0.35,0,0.17010309278350516,0.4980988593155894,1
Anabas testudineus,8.35,3.31,0.4,0,0.10257731958762883,0.4790874524714831,1
Anabas testudineus,6.87,3.14,0.46,0,0.026288659793814395,0.4144486692015211,1
Anabas testudineus,6.86,3.22,0.47,0,0.02577319587628868,0.4448669201520915,1
Anabas testudineus,8.54,3.24,0.38,0,0.11237113402061849,0.45247148288973393,1
Anabas testudineus,8.12,3.1,0.38,0,0.09072164948453604,0.3992395437262358,1
Anabas testudineus,10.31,3.2,0.31,0,0.2036082474226804,0.43726235741444885,1
Anabas testudineus,6.71,3.31,0.49,0,0.018041237113402053,0.4790874524714831,1
Anabas testudineus,9.47,3.44,0.36,0,0.16030927835051545,0.5285171102661598,1
Anabas testudineus,8.71,3.36,0.39,0,0.12113402061855671,0.4980988593155894,1
Anabas testudineus,7.9,3.16,0.4,0,0.07938144329896907,0.42205323193916355,1
Anabas testudineus,9.68,3.51,0.36,0,0.17113402061855665,0.5551330798479087,1
Anabas testudineus,8.92,3.24,0.36,0,0.1319587628865979,0.45247148288973393,1
Anabas testudineus,8.02,3.28,0.41,0,0.08556701030927832,0.467680608365019,1
Anabas testudineus,8.79,3.36,0.38,0,0.12525773195876283,0.4980988593155894,1
Anabas testudineus,7.4,3.21,0.43,0,0.05360824742268039,0.44106463878327007,1
Anabas testudineus,7.36,3.22,0.44,0,0.0515463917525773,0.4448669201520915,1
Anabas testudineus,7.17,3.18,0.44,0,0.04175257731958759,0.4296577946768062,1
Anabas testudineus,7.49,3.08,0.41,0,0.058247422680412386,0.3916349809885932,1
Anabas testudineus,7.71,3.16,0.41,0,0.06958762886597936,0.42205323193916355,1
Anabas testudineus,7.69,3.16,0.41,0,0.06855670103092781,0.42205323193916355,1
Anabas testudineus,6.98,3.08,0.44,0,0.031958762886597936,0.3916349809885932,1
Anabas testudineus,9.47,3.53,0.37,0,0.16030927835051545,0.5627376425855514,1
Anabas testudineus,7.71,3.28,0.42,0,0.06958762886597936,0.467680608365019,1
Anabas testudineus,6.75,3.22,0.48,0,0.02010309278350514,0.4448669201520915,1
Anabas testudineus,7.3,3.26,0.45,0,0.048453608247422675,0.46007604562737636,1
Anabas testudineus,8.73,3.33,0.38,0,0.12216494845360826,0.48669201520912553,1
Anabas testudineus,7.22,3.12,0.43,0,0.04432989690721645,0.4068441064638785,1
Anabas testudineus,7.05,3.34,0.47,0,0.035567010309278335,0.49049429657794674,1
Anabas testudineus,8.91,3.2,0.36,0,0.13144329896907214,0.43726235741444885,1
Anabas testudineus,8.1,3.19,0.39,0,0.0896907216494845,0.4334600760456274,1
Anabas testudineus,7.16,3.25,0.45,0,0.04123711340206182,0.45627376425855515,1
Anabas testudineus,7.06,3.23,0.46,0,0.03608247422680411,0.4486692015209127,1
Anabas testudineus,6.39,3.21,0.5,0,0.0015463917525772586,0.44106463878327007,1
Anabas testudineus,8.94,3.18,0.36,0,0.13298969072164946,0.4296577946768062,1
Anabas testudineus,6.61,3.1,0.47,0,0.01288659793814434,0.3992395437262358,1
Anabas testudineus,6.58,3.15,0.48,0,0.01134020618556697,0.41825095057034234,1
Anabas testudineus,7.05,3.24,0.46,0,0.035567010309278335,0.45247148288973393,1
Anabas testudineus,8.0,3.34,0.42,0,0.08453608247422678,0.49049429657794674,1
Anabas testudineus,8.45,3.32,0.39,0,0.10773195876288655,0.4828897338403043,1
Anabas testudineus,7.8,3.15,0.4,0,0.0742268041237113,0.41825095057034234,1
Anabas testudineus,9.17,3.38,0.37,0,0.14484536082474225,0.505703422053232,1
Anabas testudineus,9.24,3.11,0.34,0,0.14845360824742265,0.40304182509505704,1
Anabas testudineus,7.55,3.34,0.44,0,0.06134020618556696,0.49049429657794674,1
Anabas testudineus,7.33,3.16,0.43,0,0.04999999999999999,0.42205323193916355,1
Anabas testudineus,8.59,3.19,0.37,0,0.1149484536082474,0.4334600760456274,1
Anabas testudineus,7.94,3.23,0.41,0,0.08144329896907215,0.4486692015209127,1
Anabas testudineus,10.2,3.5,0.34,0,0.19793814432989681,0.5513307984790875,1
Anabas testudineus,7.48,3.21,0.43,0,0.057731958762886615,0.44106463878327007,1
Anabas testudineus,8.63,3.31,0.38,0,0.11701030927835054,0.4790874524714831,1
Anabas testudineus,8.66,3.35,0.39,0,0.1185567010309278,0.4942965779467682,1
Anabas testudineus,7.72,3.17,0.41,0,0.07010309278350513,0.42585551330798477,1
Anabas testudineus,6.52,3.35,0.51,0,0.008247422680412342,0.4942965779467682,1
Anabas testudineus,7.98,3.14,0.39,0,0.08350515463917524,0.4144486692015211,1
Anabas testudineus,10.62,3.45,0.33,0,0.21958762886597932,0.5323193916349812,1
Anabas testudineus,7.47,3.22,0.43,0,0.05721649484536079,0.4448669201520915,1
Anabas testudineus,7.51,3.18,0.42,0,0.05927835051546387,0.4296577946768062,1
Anabas testudineus,8.17,3.28,0.4,0,0.0932989690721649,0.467680608365019,1
Anabas testudineus,7.84,3.17,0.4,0,0.07628865979381438,0.42585551330798477,1
Anabas testudineus,8.98,3.26,0.36,0,0.1350515463917526,0.46007604562737636,1
Anabas testudineus,8.65,3.34,0.39,0,0.11804123711340203,0.49049429657794674,1
Anabas testudineus,9.18,3.38,0.37,0,0.14536082474226802,0.505703422053232,1
Anabas testudineus,7.37,3.14,0.43,0,0.052061855670103074,0.4144486692015211,1
Anabas testudineus,7.95,3.37,0.42,0,0.08195876288659792,0.5019011406844108,1
Anabas testudineus,7.66,3.36,0.44,0,0.0670103092783505,0.4980988593155894,1
Anabas testudineus,8.8,3.42,0.39,0,0.12577319587628866,0.5209125475285171,1
Anabas testudineus,9.27,3.36,0.36,0,0.14999999999999997,0.4980988593155894,1
Anabas testudineus,7.66,3.32,0.43,0,0.0670103092783505,0.4828897338403043,1
Anabas testudineus,9.13,3.32,0.36,0,0.14278350515463917,0.4828897338403043,1
Anabas testudineus,7.24,3.25,0.45,0,0.04536082474226805,0.45627376425855515,1
Anabas testudineus,7.58,3.23,0.43,0,0.06288659793814433,0.4486692015209127,1
Anabas testudineus,7.4,3.29,0.44,0,0.05360824742268039,0.47148288973384045,1
Anabas testudineus,8.68,3.38,0.39,0,0.11958762886597935,0.505703422053232,1
Anabas testudineus,10.45,3.46,0.33,0,0.2108247422680412,0.5361216730038024,1
Anabas testudineus,8.27,3.15,0.38,0,0.09845360824742261,0.41825095057034234,1
